Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
195,2020-01-09 03:00:00,0.011373598,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
196,2020-01-09 04:00:00,0.011536166,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
197,2020-01-09 05:00:00,0.010743385,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
198,2020-01-09 06:00:00,0.006622676,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
199,2020-01-09 07:00:00,0.005106464,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
200,2020-01-09 08:00:00,0.004724675,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
201,2020-01-09 09:00:00,0.003809287,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
202,2020-01-09 10:00:00,0.002022953,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
203,2020-01-09 11:00:00,0.003261890,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
204,2020-01-09 12:00:00,0.002287881,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
205,2020-01-09 13:00:00,0.002362239,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.000000000
206,2020-01-09 14:00:00,0.003427834,0.194701662,0.209585035,0.211834085,0.216728115,0.226363778,0.002362239
207,2020-01-09 15:00:00,0.005540090,0.194701548,0.209586020,0.211835124,0.216729282,0.226365231,0.003427834
208,2020-01-09 16:00:00,0.005551619,0.194701382,0.209587449,0.211836632,0.216730975,0.226367340,0.005540090
209,2020-01-09 17:00:00,0.004573267,0.194701114,0.209589759,0.211839070,0.216733710,0.226370748,0.005551619
210,2020-01-09 18:00:00,0.002645611,0.194700846,0.209592073,0.211841513,0.216736452,0.226374163,0.004573268
211,2020-01-09 19:00:00,0.001645022,0.194700625,0.209593980,0.211843525,0.216738710,0.226376976,0.002645611
212,2020-01-09 20:00:00,0.000779855,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
213,2020-01-09 21:00:00,0.000018484,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
214,2020-01-09 22:00:00,0.000004047,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
215,2020-01-09 23:00:00,0.000005305,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
216,2020-01-10 00:00:00,0.000007633,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
217,2020-01-10 01:00:00,0.000013695,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
218,2020-01-10 02:00:00,0.000029177,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
219,2020-01-10 03:00:00,0.000042759,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
220,2020-01-10 04:00:00,0.000039695,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
221,2020-01-10 05:00:00,0.000043913,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
222,2020-01-10 06:00:00,0.000048171,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
223,2020-01-10 07:00:00,0.000086468,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
224,2020-01-10 08:00:00,0.000148416,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
225,2020-01-10 09:00:00,0.000124476,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
226,2020-01-10 10:00:00,0.000115780,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000000000
227,2020-01-10 11:00:00,0.000113055,0.194700497,0.209595083,0.211844689,0.216740016,0.226378603,0.000115780
228,2020-01-10 12:00:00,0.000075000,0.194700445,0.209595083,0.211844689,0.216740016,0.226378603,0.000113055
229,2020-01-10 13:00:00,0.000489404,0.194700395,0.209595083,0.211844689,0.216740016,0.226378603,0.000075000
230,2020-01-10 14:00:00,0.000656081,0.194700361,0.209595083,0.211844689,0.216740016,0.226378603,0.000489404
231,2020-01-10 15:00:00,0.000704695,0.194700141,0.209595083,0.211844689,0.216740016,0.226378603,0.000656081
232,2020-01-10 16:00:00,0.000503089,0.194703118,0.209572473,0.211820827,0.216713237,0.226345245,0.000704695
233,2020-01-10 17:00:00,0.000277114,0.194708818,0.209523280,0.211768911,0.216654979,0.226272690,0.000503089
